County Name,State Name,Confirmed,New,Death,Fatality Rate,Latitude,Longitude,Last Update,STATEFP,COUNTYFP,Population Estimate 2018 (Ths.),Infection Rate
Iberia,Louisiana,1,1,0,0%,29.898011199999996,-91.72954301,2020-03-19 23:11 EDT,22,045,0.94,1.0638297872340425
Iberville,Louisiana,1,1,0,0%,30.25861183000007,-91.35399609099994,2020-03-19 23:11 EDT,22,047,3.99,0.2506265664160401
Livingston,Louisiana,1,1,0,0%,30.450238835000054,-90.73914828299995,2020-03-19 23:11 EDT,22,063,1.19,0.8403361344537815
Rapides,Louisiana,1,1,0,0%,31.198439239000038,-92.53308594799995,2020-03-19 23:11 EDT,22,079,4.5,0.2222222222222222
Webster,Louisiana,1,1,0,0%,32.713590190000055,-93.33509248999997,2020-03-19 23:11 EDT,22,119,1.23,0.8130081300813008
Oakland,Michigan,105,46,0,0%,42.74214,-83.16174000000002,2020-03-19 23:11 EDT,26,125,13.24,7.930513595166163
Macomb,Michigan,55,45,0,0%,42.69565,-82.92171,2020-03-19 23:11 EDT,26,099,7.52,7.3138297872340425
Wayne,Michigan,44,34,1,2.3%,42.28515,-83.3836,2020-03-19 23:11 EDT,26,163,22.72,1.9366197183098592
Washtenaw,Michigan,14,7,0,0%,42.25322942,-83.83877634,2020-03-19 23:11 EDT,26,161,22.6,0.6194690265486725
Kent,Michigan,7,2,0,0%,43.03216204,-85.54929822,2020-03-19 23:11 EDT,26,081,11.54,0.6065857885615252
Ingham,Michigan,6,1,0,0%,42.59709245,-84.37353421,2020-03-19 23:11 EDT,26,065,17.19,0.34904013961605584
St. Clair,Michigan,4,2,0,0%,42.83189,-82.50220999999998,2020-03-19 23:11 EDT,26,147,2,2.0
Monroe,Michigan,2,1,0,0%,41.916059999999995,-83.3979,2020-03-19 23:11 EDT,26,115,1.46,1.36986301369863
Eaton,Michigan,2,2,0,0%,42.596074929000046,-84.83832067399999,2020-03-19 23:11 EDT,26,045,1.77,1.1299435028248588
Montcalm,Michigan,1,0,0,0%,43.31095473,-85.1525018,2020-03-19 23:11 EDT,26,117,3.06,0.32679738562091504
Bay,Michigan,1,0,0,0%,43.70732889,-83.99203709,2020-03-19 23:11 EDT,26,017,1.44,0.6944444444444444
Charlevoix,Michigan,1,0,0,0%,45.31653,-85.26071999999998,2020-03-19 23:11 EDT,26,029,0.28,3.571428571428571
Ottawa,Michigan,1,0,0,0%,42.96071229,-85.99516567,2020-03-19 23:11 EDT,26,139,9.07,0.11025358324145534
Leelanau,Michigan,1,0,0,0%,44.93849073,-85.81182341,2020-03-19 23:11 EDT,26,089,0.28,3.571428571428571
Otsego,Michigan,1,0,0,0%,42.4606,-85.6964,2020-03-19 23:11 EDT,26,137,0.35,2.857142857142857
Jackson,Michigan,1,0,0,0%,42.24848235,-84.42344983,2020-03-19 23:11 EDT,26,075,8.67,0.11534025374855825
Clinton,Michigan,1,1,0,0%,42.94365425900003,-84.60151415799999,2020-03-19 23:11 EDT,26,037,0.63,1.5873015873015872
Livingston,Michigan,1,1,0,0%,42.60291818300004,-83.91152404099995,2020-03-19 23:11 EDT,26,093,1.39,0.7194244604316548
Midland,Michigan,1,1,0,0%,43.646864899000036,-84.38811027199995,2020-03-19 23:11 EDT,26,111,1.27,0.7874015748031495
