County Name,State Name,Confirmed,New,Death,Fatality Rate,Last Update,STATEFP,COUNTYFP,Population Estimate 2018 (Ths.),Infection Rate
Hartford,Connecticut,1,0,0,0%,2020-03-14 12:04 EDT,09,003,26.01,0.03844675124951941
Pinal,Arizona,5,0,0,0%,2020-03-14 12:04 EDT,04,021,25.31,0.19755037534571318
Maricopa,Arizona,3,0,0,0%,2020-03-14 12:04 EDT,04,013,65.23,0.04599110838571209
Pima,Arizona,2,0,0,0%,2020-03-14 12:04 EDT,04,019,25.28,0.0791139240506329
Graham,Arizona,1,0,0,0%,2020-03-14 12:04 EDT,04,009,2.71,0.36900369003690037
Bernalillo,New Mexico,5,0,0,0%,2020-03-14 12:04 EDT,35,001,11.91,0.41981528127623846
Santa Fe,New Mexico,3,0,0,0%,2020-03-14 12:04 EDT,35,049,2.63,1.1406844106463878
Socorro,New Mexico,2,0,0,0%,2020-03-14 12:04 EDT,35,053,0.58,3.4482758620689657
Summit,Utah,4,0,0,0%,2020-03-14 12:04 EDT,49,043,0.11,36.36363636363637
Davis,Utah,1,0,0,0%,2020-03-14 12:04 EDT,49,011,3.07,0.32573289902280134
Weber,Utah,1,0,0,0%,2020-03-14 12:04 EDT,49,057,2.72,0.3676470588235294
Salt Lake,Utah,1,0,0,0%,2020-03-14 12:04 EDT,49,035,14.85,0.06734006734006734
Minnehaha,South Dakota,3,0,0,0%,2020-03-14 12:04 EDT,46,099,6.27,0.47846889952153115
Pennington,South Dakota,1,0,1,100%,2020-03-14 12:04 EDT,46,103,2.57,0.38910505836575876
Beadle,South Dakota,1,0,0,0%,2020-03-14 12:04 EDT,46,005,0.62,1.6129032258064517
Charles Mix,South Dakota,1,0,0,0%,2020-03-14 12:04 EDT,46,023,0.59,1.6949152542372883
Davison,South Dakota,1,0,0,0%,2020-03-14 12:04 EDT,46,035,0.77,1.2987012987012987
Bon Homme,South Dakota,1,0,0,0%,2020-03-14 12:04 EDT,46,009,1.54,0.6493506493506493
McCook,South Dakota,1,0,0,0%,2020-03-14 12:04 EDT,46,087,0.31,3.2258064516129035
Rockingham,New Hampshire,4,0,0,0%,2020-03-14 12:04 EDT,33,015,2.5,1.6
Grafton,New Hampshire,3,0,0,0%,2020-03-14 12:04 EDT,33,009,7.1,0.4225352112676057
Johnson,Kansas,4,0,0,0%,2020-03-14 12:04 EDT,20,091,5.16,0.7751937984496123
Wyandotte,Kansas,1,0,1,100%,2020-03-14 12:04 EDT,20,209,1.34,0.7462686567164178
Sedgwick,Kansas,1,0,0,0%,2020-03-14 12:04 EDT,20,173,7.27,0.13755158184319122
Forrest,Mississippi,3,0,0,0%,2020-03-14 12:04 EDT,28,035,2.92,1.0273972602739727
Leflore,Mississippi,1,0,0,0%,2020-03-14 12:04 EDT,28,083,1.49,0.6711409395973155
